Id,Name,DisplayName,Description,Type,Category,Price,Edibility,IsDrink,SpriteIndex,CanBeGivenAsGift,CanBeTrashed,ExcludeFromShippingCollection,ContextTags
0,Weeds,[LocalizedText Strings\Objects:Weeds_Name],[LocalizedText Strings\Objects:Weeds_Description],Litter,-999,0,-300,False,0,True,True,False,
2,Stone,[LocalizedText Strings\Objects:DiamondStone_Name],[LocalizedText Strings\Objects:DiamondStone_Description],Litter,-999,0,-300,False,2,True,True,False,
4,Stone,[LocalizedText Strings\Objects:RubyStone_Name],[LocalizedText Strings\Objects:RubyStone_Description],Litter,-999,0,-300,False,4,True,True,False,
6,Stone,[LocalizedText Strings\Objects:JadeStone_Name],[LocalizedText Strings\Objects:JadeStone_Description],Litter,-999,0,-300,False,6,True,True,False,
8,Stone,[LocalizedText Strings\Objects:AmethystStone_Name],[LocalizedText Strings\Objects:AmethystStone_Description],Litter,-999,0,-300,False,8,True,True,False,
10,Stone,[LocalizedText Strings\Objects:TopazStone_Name],[LocalizedText Strings\Objects:TopazStone_Description],Litter,-999,0,-300,False,10,True,True,False,
12,Stone,[LocalizedText Strings\Objects:EmeraldStone_Name],[LocalizedText Strings\Objects:EmeraldStone_Description],Litter,-999,0,-300,False,12,True,True,False,
14,Stone,[LocalizedText Strings\Objects:AquamarineStone_Name],[LocalizedText Strings\Objects:AquamarineStone_Description],Litter,-999,0,-300,False,14,True,True,False,
16,Wild Horseradish,[LocalizedText Strings\Objects:WildHorseradish_Name],[LocalizedText Strings\Objects:WildHorseradish_Description],Basic,-81,50,5,False,16,True,True,False,"color_brown,forage_item,season_spring"
18,Daffodil,[LocalizedText Strings\Objects:Daffodil_Name],[LocalizedText Strings\Objects:Daffodil_Description],Basic,-81,30,0,False,18,True,True,False,"color_yellow,forage_item,season_spring"
20,Leek,[LocalizedText Strings\Objects:Leek_Name],[LocalizedText Strings\Objects:Leek_Description],Basic,-81,60,16,False,20,True,True,False,"color_white,forage_item,season_spring"
22,Dandelion,[LocalizedText Strings\Objects:Dandelion_Name],[LocalizedText Strings\Objects:Dandelion_Description],Basic,-81,40,10,False,22,True,True,False,"color_yellow,forage_item,season_spring"
24,Parsnip,[LocalizedText Strings\Objects:Parsnip_Name],[LocalizedText Strings\Objects:Parsnip_Description],Basic,-75,35,10,False,24,True,True,False,"color_yellow,dye_medium,season_spring"
25,Stone,[LocalizedText Strings\Objects:MusselStone_Name],[LocalizedText Strings\Objects:MusselStone_Description],Litter,-999,0,-300,False,25,True,True,False,
30,Lumber,[LocalizedText Strings\Objects:Lumber_Name],[LocalizedText Strings\Objects:Lumber_Description],Basic,0,2,10,False,30,True,True,False,"color_brown,wood_item"
32,Stone,[LocalizedText Strings\Objects:Stone_Node_Name],[LocalizedText Strings\Objects:Stone_Node_Description],Litter,-999,0,-300,False,32,True,True,False,
34,Stone,[LocalizedText Strings\Objects:Stone_Node_Name],[LocalizedText Strings\Objects:Stone_Node_Description],Litter,-999,0,-300,False,34,True,True,False,
36,Stone,[LocalizedText Strings\Objects:Stone_Node_Name],[LocalizedText Strings\Objects:Stone_Node_Description],Litter,-999,0,-300,False,36,True,True,False,
